drugbank_id,drugbank_name,drugbank_inchikey,drugbank_firstblock,atc_codes,n_atc_codes,drugbank_targets,n_drugbank_targets
DB00001,Lepirudin,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00001,Lepirudin,,,B01AE02,1,F2,1
DB00002,Cetuximab,,,,0,,0
DB00002,Cetuximab,,,L01FE01,1,C1QA|C1QB|C1QC|EGFR|FCGR1A|FCGR2A|FCGR3A|FCGR3B,8
DB00003,Dornase alfa,,,R05CB13,1,DNASE1,1
DB00004,Denileukin diftitox,,,L01XX29,1,IL2RA|IL2RB,2
DB00005,Etanercept,,,L04AB01,1,C1QA|FCGR1A|FCGR2A|FCGR2B|FCGR2C|FCGR3A|FCGR3B|LTA|TNF,9
DB00006,Bivalirudin,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00006,Bivalirudin,OIRCOABEOLEUMC-GEJPAHFPSA-N,OIRCOABEOLEUMC,B01AE06,1,F2,1
DB00007,Leuprolide,,,L02AE02|L02AE51,2,GNRH1|GNRHR,2
DB00008,Peginterferon alfa-2a,,,L03AB11|L03AB61,2,IFNAR1|IFNAR2,2
DB00009,Alteplase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00009,Alteplase,,,B01AD02|S01XA13,2,FGA|FGG|PLG|SERPINE1,4
DB00010,Sermorelin,,,H01AC04|V04CD03,2,GHRHR,1
DB00011,Interferon alfa-n1,,,L03AB06,1,IFNAR1|IFNAR2,2
DB00012,Darbepoetin alfa,,,B03XA02,1,EPOR,1
DB00013,Urokinase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00013,Urokinase,,,B01AD04,1,LRP2|NID1|PLAUR|PLG|SERPINA5|SERPINB2|SERPINE1|ST14,8
DB00014,Goserelin,BLCLNMBMMGCOAS-URPVMXJPSA-N,BLCLNMBMMGCOAS,L02AE03,1,GNRH1|GNRHR|LHCGR,3
DB00015,Reteplase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00015,Reteplase,,,B01AD07,1,FGA|PLG|SERPINE1,3
DB00016,Erythropoietin,,,B03XA01,1,EPOR,1
DB00017,Salmon calcitonin,,,H05BA01,1,CALCR,1
DB00018,Interferon alfa-n3,,,,0,IFNAR1|IFNAR2,2
DB00019,Pegfilgrastim,,,L03AA13,1,CSF3R,1
DB00020,Sargramostim,,,L03AA09,1,CSF2RA|CSF2RB|IL3RA|PRG2|SDC2,5
DB00022,Peginterferon alfa-2b,,,L03AB10|L03AB60,2,IFNAR1|IFNAR2,2
DB00023,Asparaginase Escherichia coli,,,L01XX02,1,,0
DB00024,Thyrotropin alfa,,,H01AB01,1,TSHR,1
DB00025,"Antihemophilic factor, human recombinant",,,B02BD02,1,ASGR2|CALR|CANX|F10|F9|HSPA5|LMAN1|LRP1|MCFD2|PHYH|VWF,11
DB00026,Anakinra,,,L04AC03,1,IL1R1,1
DB00027,Gramicidin D,NDAYQJDHGXTBJL-MWWSRJDJSA-N,NDAYQJDHGXTBJL,R02AB30,1,,0
DB00028,Human immunoglobulin G,,,,0,C3|C4A|C4B|C5|FCGR1A|FCGR1BP|FCGR2A|FCGR2B|FCGR2C|FCGR3A|FCGR3B,11
DB00029,Anistreplase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00029,Anistreplase,,,B01AD03,1,FGA|PLG|SERPINE1,3
DB00030,Insulin human,,,A10AB01|A10AC01|A10AD01|A10AE01|A10AF01,5,CCN3|CPE|IGF1R|IGFBP7|INSR|LRP2,6
DB00031,Tenecteplase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00031,Tenecteplase,,,B01AD11,1,PLG,1
DB00032,Menotropins,,,G03GA02|G03GA03,2,FSHR|LHCGR,2
DB00033,Interferon gamma-1b,,,,0,IFNGR1|IFNGR2,2
DB00034,Interferon alfa-2a,,,L03AB04,1,IFNAR1|IFNAR2,2
DB00035,Desmopressin,NFLWUMRGJYTJIN-PNIOQBSNSA-N,NFLWUMRGJYTJIN,H01BA02,1,AVPR1A|AVPR1B|AVPR2|OXTR,4
DB00036,Coagulation factor VIIa Recombinant Human,,,B02BD08,1,F10|F3,2
DB00038,Oprelvekin,,,L03AC02,1,IL11RA,1
DB00039,Palifermin,,,V03AF08,1,FGFR1|FGFR2|HSPG2,3
DB00040,Glucagon,,,H04AA01,1,GCGR|GLP1R|GLP2R,3
DB00041,Aldesleukin,,,L03AC01,1,IL2RA|IL2RB|IL2RG,3
DB00042,Botulinum toxin type B,,,M03AX01,1,SYT2|VAMP1|VAMP2,3
DB00043,Omalizumab,,,R03DX05,1,IGHE,1
DB00044,Lutropin alfa,,,G03GA07,1,LHCGR,1
DB00045,Lyme disease vaccine (recombinant OspA),,,,0,TLR2,1
DB00046,Insulin lispro,,,A10AB04|A10AC04|A10AD04,3,IGF1R|INSR,2
DB00047,Insulin glargine,,,A10AE04|A10AE54,2,IGF1R|INSR,2
DB00048,Collagenase clostridium histolyticum,,,D03BA02|D03BA52|M09AB02,3,COL1A1|COL2A1|COL3A1,3
DB00049,Rasburicase,,,M04AX01|V03AF07,2,,0
DB00050,Cetrorelix,SBNPWPIBESPSIF-MHWMIDJBSA-N,SBNPWPIBESPSIF,H01CC02,1,GNRHR|LHCGR,2
DB00051,Adalimumab,,,L04AB04,1,TNF,1
DB00052,Somatotropin,,,H01AC01,1,GHR|PRLR,2
DB00053,Imiglucerase,,,A16AB02,1,,0
DB00054,Abciximab,,,,0,,0
DB00054,Abciximab,,,B01AC13,1,FCGR2A|FCGR2B|ITGA2B|ITGB3|VTN,5
DB00055,Drotrecogin alfa,,,B01AD10,1,F2|F5|F8|PF4|PROCR|PROS1|SERPINA5|SERPINB6|SERPINE1|THBD,10
DB00056,Gemtuzumab ozogamicin,,,L01FX02,1,CD33|FCGR1A|FCGR3A|FCGR3B,4
DB00057,Indium In-111 satumomab pendetide,,,V09IB02,1,,0
DB00058,Alpha-1-proteinase inhibitor,,,B02AB02,1,ELANE,1
DB00059,Pegaspargase,,,L01XX24,1,,0
DB00060,Interferon beta-1a,,,L03AB07,1,IFNAR1|IFNAR2,2
DB00061,Pegademase,,,L03AX04,1,GRB2,1
DB00062,Albumin human,,,B05AA01,1,,0
DB00063,Eptifibatide,,,,0,,0
DB00063,Eptifibatide,,,B01AC16,1,CACNA1B|ITGA2B|ITGB3,3
DB00065,Infliximab,,,L04AB02,1,TNF,1
DB00066,Follitropin,,,G03GA05|G03GA06|G03GA10,3,FSHR,1
DB00067,Vasopressin,,,,0,AVPR1A|AVPR1B|AVPR2|OXTR,4
DB00068,Interferon beta-1b,,,L03AB08,1,IFNAR1|IFNAR2,2
DB00069,Interferon alfacon-1,,,L03AB09,1,IFNAR1|IFNAR2,2
DB00070,Hyaluronidase (ovine),,,,0,TGFB1,1
DB00071,Insulin pork,,,A10AB03|A10AC03|A10AD03|A10AE03,4,IGF1R|INSR,2
DB00072,Trastuzumab,,,,0,,0
DB00072,Trastuzumab,,,L01FD01|L01FY01,2,ERBB2,1
DB00073,Rituximab,,,L01FA01,1,MS4A1,1
DB00074,Basiliximab,,,L04AC02,1,IL2RA|IL2RB,2
DB00075,Muromonab,,,L04AG01,1,CD247|CD3D|CD3E|CD3G|FCGR3B,5
DB00076,Digoxin Immune Fab (Ovine),,,V03AB24,1,,0
DB00078,Ibritumomab tiuxetan,,,V10XX02,1,MS4A1,1
DB00080,Daptomycin,DOAKLVKFURWEDJ-QCMAZARJSA-N,DOAKLVKFURWEDJ,J01XX09,1,,0
DB00081,Tositumomab,,,V10XA53,1,FCGR2B|MS4A1,2
DB00082,Pegvisomant,,,H01AX01,1,GHR,1
DB00083,Botulinum toxin type A,,,M03AX01,1,RHOB|SNAP25,2
DB00085,Pancrelipase,,,A09AA02,1,,0
DB00086,Streptokinase,,,,0,,0
DB01022,Phylloquinone,,,,0,,0
DB01373,Calcium,,,,0,,0
DB00086,Streptokinase,,,B01AD01|B06AA55,2,F2R|PLG,2
DB00087,Alemtuzumab,,,L04AG06,1,CD52|FCGR1A|FCGR2A|FCGR2B|FCGR2C|FCGR3A|FCGR3B,7
DB00088,Alglucerase,,,A16AB01,1,,0
DB00089,Capromab pendetide,,,V09IB04,1,FOLH1,1
DB00090,Laronidase,,,A16AB05,1,,0
DB00091,Cyclosporine,PMATZTZNYRCHOR-CGLBZJNRSA-N,PMATZTZNYRCHOR,L04AD01|S01XA18,2,CAMLG|PPIA|PPIF|PPP3CA|PPP3R2,5
DB00092,Alefacept,,,L04AA15,1,CD2|FCGR3A|FCGR3B,3
DB00093,Felypressin,,,,0,AVPR1A,1
DB00094,Urofollitropin,,,G03GA04,1,FSHR,1
DB00095,Efalizumab,,,L04AG02,1,ITGAL|ITGAX,2
DB00097,Choriogonadotropin alfa,,,G03GA08,1,FSHR|LHCGR,2
DB00098,Antithymocyte immunoglobulin (rabbit),,,L04AA04,1,CD1A|CD4|CD86|FCGR2B|ITGAL|ITGAV|ITGB1|ITGB3|MR1,9
DB00099,Filgrastim,,,L03AA02,1,CSF3R,1
DB00100,Coagulation Factor IX (Recombinant),,,,0,F10|F11|F2|F7|F8|GGCX|LRP1,7
DB00102,Becaplermin,,,A01AD08|D03AX06,2,A2M|PDGFRA|PDGFRB,3
DB00103,Agalsidase beta,,,A16AB04,1,,0
DB00104,Octreotide,,,H01CB02,1,SSTR2,1
DB00105,Interferon alfa-2b,,,L03AB05,1,IFNA2|IFNAR1|IFNAR2,3
DB00106,Abarelix,AIWRTTMUVOZGPW-HSPKUQOVSA-N,AIWRTTMUVOZGPW,L02BX01,1,GNRHR,1
DB00107,Oxytocin,,,G02AC01|H01BB02,2,AVPR1A|AVPR1B|AVPR2|OXTR,4
DB00108,Natalizumab,,,L04AG03,1,FCGR1A|FCGR3B|ICAM1|ITGA4,4
DB00109,Enfuvirtide,,,J05AX07,1,GP41,1
DB00110,Palivizumab,,,J06BD01,1,C1QA|C1QB|C1QC|C1R|F|FCGR1A|FCGR2B|FCGR3A|FCGR3B,9
DB00111,Daclizumab,,,L04AC01,1,C1QA|C1QB|C1QC|C1R|FCGR1A|FCGR2A|FCGR2B|FCGR2C|FCGR3A|FCGR3B|IL2RA|IL2RB,12
DB00112,Bevacizumab,,,,0,,0
DB00112,Bevacizumab,,,L01FG01|S01LA08,2,C1QA|C1QB|C1QC|FCGR1A|FCGR2A|FCGR2B|FCGR2C|FCGR3A|VEGFA,9
DB00113,Technetium Tc-99m arcitumomab,,,V09IA06,1,CEACAM1,1
DB00114,Pyridoxal phosphate,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00129,Ornithine,,,,0,,0
DB00130,L-Glutamine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00155,Citrulline,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01373,Calcium,,,,0,,0
DB03904,Urea,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04299,Maleic acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00129,Ornithine,,,,0,,0
DB00130,L-Glutamine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00155,Citrulline,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01373,Calcium,,,,0,,0
DB03904,Urea,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04299,Maleic acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02951,3-Hydroxypyruvic Acid,,,,0,,0
DB02957,Orotidylic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03587,Pyruvaldehyde,,,,0,,0
DB03843,Formaldehyde,,,,0,,0
DB03915,2-Amino-3-Ketobutyric Acid,,,,0,,0
DB03929,D-Serine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04343,Glyoxylic acid,,,,0,,0
DB04522,Dexfosfoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00126,Ascorbic acid,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00135,Tyrosine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB00360,Sapropterin,,,,0,,0
DB00368,Norepinephrine,,,,0,,0
DB00668,Epinephrine,,,,0,,0
DB00988,Dopamine,,,,0,,0
DB01235,Levodopa,,,,0,,0
DB01373,Calcium,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01592,Iron,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,,,0,,0
DB01762,Acetoacetic acid,,,,0,,0
DB01828,Methylamine,,,,0,,0
DB02232,"1,2-Dihydroxybenzene",,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03205,Pyrroloquinoline Quinone,,,,0,,0
DB04299,Maleic acid,,,,0,,0
DB07718,4-Hydroxyphenylpyruvic acid,,,,0,,0
DB08327,Homogentisic acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00130,L-Glutamine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB00174,Asparagine,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01971,trans-urocanic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00126,Ascorbic acid,,,,0,,0
DB00135,Tyrosine,,,,0,,0
DB00368,Norepinephrine,,,,0,,0
DB00668,Epinephrine,,,,0,,0
DB00988,Dopamine,,,,0,,0
DB01235,Levodopa,,,,0,,0
DB01592,Iron,,,,0,,0
DB03205,Pyrroloquinoline Quinone,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB00161,Valine,,,,0,,0
DB00171,ATP,,,,0,,0
DB03107,beta-Alanine,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03688,Hydracrylic acid,,,,0,,0
DB03766,Propanoic acid,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04183,Methylmalonic Acid,,,,0,,0
DB04524,Malonyl-CoA,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00129,Ornithine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00155,Citrulline,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00360,Sapropterin,,,,0,,0
DB00435,Nitric Oxide,,,,0,,0
DB02577,Mesoheme,,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,0,,0
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03247,Flavin mononucleotide,,,,0,,0
DB03904,Urea,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04299,Maleic acid,,,,0,,0
DB04388,4-Carboxy-4-Aminobutanal,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00847,Cysteamine,,,,0,,0
DB01592,Iron,,,,0,,0
DB01956,Taurine,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00855,Aminolevulinic acid,,,,0,,0
DB01592,Iron,,,,0,,0
DB01593,Zinc,,,,0,,0
DB02285,Protoporphyrin,,,,0,,0
DB02577,Mesoheme,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03435,Uridine-5'-Diphosphate,,,,0,,0
DB04461,Coproporphyrinogen III,,,,0,,0
DB07780,Farnesyl diphosphate,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB00640,Adenosine,,,,0,,0
DB02345,Selenocysteine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB01373,Calcium,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01971,trans-urocanic acid,,,,0,,0
DB03107,beta-Alanine,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB04151,1-Methylhistidine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB01373,Calcium,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01861,Uridine diphosphate glucose,,,,0,,0
DB03323,Maltose,,,,0,,0
DB03435,Uridine-5'-Diphosphate,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00130,L-Glutamine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00143,Glutathione,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01632,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02530,gamma-Aminobutyric acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03408,gamma-Glutamylcysteine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00147,Pyridoxal,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01762,Acetoacetic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03229,alpha-Ketoisocaproic acid,,,,0,,0
DB04074,alpha-Ketoisovalerate,,,,0,,0
DB04183,Methylmalonic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00147,Pyridoxal,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01762,Acetoacetic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03229,alpha-Ketoisocaproic acid,,,,0,,0
DB04074,alpha-Ketoisovalerate,,,,0,,0
DB04183,Methylmalonic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00147,Pyridoxal,,,,0,,0
DB00149,Leucine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00161,Valine,,,,0,,0
DB00167,Isoleucine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01762,Acetoacetic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03229,alpha-Ketoisocaproic acid,,,,0,,0
DB04074,alpha-Ketoisovalerate,,,,0,,0
DB04183,Methylmalonic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00122,Choline,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00133,Serine,,,,0,,0
DB00134,Methionine,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB00640,Adenosine,,,,0,,0
DB01345,Potassium cation,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01917,Putrescine,,,,0,,0
DB02083,"N,N-dimethylglycine",,,,0,,0
DB02238,4-methylthio-2-oxobutanoic acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03566,Spermidine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04193,L-Homoserine,,,,0,,0
DB04553,2-Oxobutanoic Acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00123,Lysine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB04207,L-Saccharopine,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00125,Arginine,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00129,Ornithine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00148,Creatine,,,,0,,0
DB00155,Citrulline,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB00172,Proline,,,,0,,0
DB00360,Sapropterin,,,,0,,0
DB00435,Nitric Oxide,,,,0,,0
DB02577,Mesoheme,,,,0,,0
DB02751,Glycocyamine,,,,0,,0
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",,,,0,,0
DB03144,N(5)-[(hydroxyamino)(imino)methyl]-L-ornithine,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03247,Flavin mononucleotide,,,,0,,0
DB03904,Urea,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB04299,Maleic acid,,,,0,,0
DB04388,4-Carboxy-4-Aminobutanal,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00116,Tetrahydrofolic acid,,,,0,,0
DB00117,Histidine,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB00171,ATP,,,,0,,0
DB01373,Calcium,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01971,trans-urocanic acid,,,,0,,0
DB03107,beta-Alanine,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB04151,1-Methylhistidine,,,,0,,0
DB04160,Pyrophosphoric acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00118,Ademetionine,,,,0,,0
DB00126,Ascorbic acid,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00135,Tyrosine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB00360,Sapropterin,,,,0,,0
DB00368,Norepinephrine,,,,0,,0
DB00668,Epinephrine,,,,0,,0
DB00988,Dopamine,,,,0,,0
DB01235,Levodopa,,,,0,,0
DB01373,Calcium,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01592,Iron,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01702,"2-(3,4-Dihydroxyphenyl)Acetic Acid",,,,0,,0
DB01762,Acetoacetic acid,,,,0,,0
DB01828,Methylamine,,,,0,,0
DB02232,"1,2-Dihydroxybenzene",,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB03205,Pyrroloquinoline Quinone,,,,0,,0
DB04299,Maleic acid,,,,0,,0
DB07718,4-Hydroxyphenylpyruvic acid,,,,0,,0
DB08327,Homogentisic acid,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00123,Lysine,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00157,NADH,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
DB04207,L-Saccharopine,,,,0,,0
DB00114,Pyridoxal phosphate,,,,0,,0
DB00119,Pyruvic acid,,,,0,,0
DB00121,Biotin,,,,0,,0
DB00128,Aspartic acid,,,,0,,0
DB00130,L-Glutamine,,,,0,,0
DB00131,Adenosine phosphate,,,,0,,0
DB00139,Succinic acid,,,,0,,0
DB00142,Glutamic acid,,,,0,,0
DB00143,Glutathione,,,,0,,0
DB00145,Glycine,,,,0,,0
DB00151,Cysteine,,,,0,,0
DB00157,NADH,,,,0,,0
DB00160,Alanine,,,,0,,0
DB00171,ATP,,,,0,,0
DB01378,Magnesium cation,,,,0,,0
DB01593,Zinc,,,,0,,0
DB01632,5-O-phosphono-alpha-D-ribofuranosyl diphosphate,,,,0,,0
DB01972,Guanosine-5'-Monophosphate,,,,0,,0
DB02530,gamma-Aminobutyric acid,,,,0,,0
DB03147,Flavin adenine dinucleotide,,,,0,,0
